root_id,persistent_cluster,side,ito_lee_hemilineage,hartenstein_hemilineage,hemilineage_group,supervoxel_id,nps
720575940628316047,left_0,left,ALad1,BAmv3,ALad1__0,78394079683584602,AL_LH_MB_CA
720575940642046453,left_0,left,ALad1,BAmv3,ALad1__0,78253342195247781,AL_LH_MB_CA
720575940620103590,left_0,left,ALad1,BAmv3,ALad1__0,78323710939434624,AL_LH_MB_CA
720575940620467438,left_0,left,ALad1,BAmv3,ALad1__0,78605254702295340,AL_LH_MB_CA
720575940605421442,left_0,left,ALad1,BAmv3,ALad1__0,78323642220035336,AL_LH_MB_CA
720575940630928715,left_0,left,ALad1,BAmv3,ALad1__0,79027123436000833,AL_LH_MB_CA
720575940611022515,left_0,left,ALad1,BAmv3,ALad1__0,78464517147407685,AL_LH_MB_CA
720575940627772009,left_0,left,ALad1,BAmv3,ALad1__0,78394079683626837,AL_LH_MB_CA
720575940628181520,left_0,left,ALad1,BAmv3,ALad1__0,78464517213828200,AL_LH_MB_CA
720575940609903077,right_3,right,ALad1,BAmv3,ALad1__0,80927491912508368,AL_LH_MB_CA
720575940613655483,right_3,right,ALad1,BAmv3,ALad1__0,79941917110158553,AL_LH_MB_CA
720575940637864355,right_3,right,ALad1,BAmv3,ALad1__0,80857191888013362,AL_LH_MB_CA
720575940614714178,right_3,right,ALad1,BAmv3,ALad1__0,80927560632051810,AL_LH_MB_CA
720575940630217086,right_3,right,ALad1,BAmv3,ALad1__0,81068229400807813,AL_LH_MB_CA
720575940631161570,right_3,right,ALad1,BAmv3,ALad1__0,79941848390608639,AL_LH_MB_CA
720575940624941244,right_3,right,ALad1,BAmv3,ALad1__0,81068229334326487,AL_LH_MB_CA
720575940621123113,right_3,right,ALad1,BAmv3,ALad1__0,80927560632173525,AL_LH_MB_CA
720575940619531373,right_3,right,ALad1,BAmv3,ALad1__0,80785380370626954,AL_LH_MB_CA
720575940613167007,left_2,left,ALad1,BAmv3,ALad1__1,77548143327717278,AL_LH_MB_CA
720575940635082871,left_2,left,ALad1,BAmv3,ALad1__1,78957304514428074,AL_LH_MB_CA
720575940609454603,left_2,left,ALad1,BAmv3,ALad1__1,78886935770409432,AL_LH_MB_CA
720575940615394719,left_2,left,ALad1,BAmv3,ALad1__1,78181393305807094,AL_LH_MB_CA
720575940619902598,left_2,left,ALad1,BAmv3,ALad1__1,79027673259228320,AL_LH_MB_CA
720575940620437339,left_2,left,ALad1,BAmv3,ALad1__1,77196437045522635,AL_LH_MB_CA
720575940631328104,left_2,left,ALad1,BAmv3,ALad1__1,79097767125104346,AL_LH_MB_CA
720575940610505170,left_2,left,ALad1,BAmv3,ALad1__1,78957304447921539,AL_LH_MB_CA
720575940628524292,left_2,left,ALad1,BAmv3,ALad1__1,79027604606249414,AL_LH_MB_CA
720575940635933119,left_2,left,ALad1,BAmv3,ALad1__1,78251830769423438,AL_LH_MB_CA
720575940625431866,left_2,left,ALad1,BAmv3,ALad1__1,78957304514685298,AL_LH_MB_CA
720575940619928429,left_2,left,ALad1,BAmv3,ALad1__1,78957235795510355,AL_LH_MB_CA
720575940620189790,left_2,left,ALad1,BAmv3,ALad1__1,78887004489925320,AL_LH_MB_CA
720575940622785062,left_2,left,ALad1,BAmv3,ALad1__1,77196368326031582,AL_LH_MB_CA
720575940627035388,left_2,left,ALad1,BAmv3,ALad1__1,78957304514447859,AL_LH_MB_CA
720575940644961588,left_2,left,ALad1,BAmv3,ALad1__1,78181462091981466,AL_LH_MB_CA
720575940624001321,left_2,left,ALad1,BAmv3,ALad1__1,78251830769492373,AL_LH_MB_CA
720575940611372714,left_2,left,ALad1,BAmv3,ALad1__1,78957235795359597,AL_LH_MB_CA
720575940620465904,left_2,left,ALad1,BAmv3,ALad1__1,78887004489993582,AL_LH_MB_CA
720575940625413395,left_3,left,ALad1,BAmv3,ALad1__1,78394354628249196,AL_LH_MB_CA
720575940627949929,left_3,left,ALad1,BAmv3,ALad1__1,79097904698059574,AL_LH_MB_CA
720575940620551259,left_3,left,ALad1,BAmv3,ALad1__1,79238710906072894,AL_LH_MB_CA
720575940614316731,left_3,left,ALad1,BAmv3,ALad1__1,79027467234627595,AL_LH_MB_CA
720575940624039560,left_3,left,ALad1,BAmv3,ALad1__1,79238710906072881,AL_LH_MB_CA
720575940610752068,left_3,left,ALad1,BAmv3,ALad1__1,79097835978827708,AL_LH_MB_CA
720575940629279544,right_0,right,ALad1,BAmv3,ALad1__1,80152954555929222,AL_LH_MB_CA
720575940609447179,right_0,right,ALad1,BAmv3,ALad1__1,82122386509779945,AL_LH_MB_CA
720575940606649865,right_0,right,ALad1,BAmv3,ALad1__1,80364816770274143,AL_LH_MB_CA
720575940626986885,right_0,right,ALad1,BAmv3,ALad1__1,81137086719193193,AL_LH_MB_CA
720575940625493400,right_0,right,ALad1,BAmv3,ALad1__1,80364679398274427,AL_LH_MB_CA
720575940639121571,right_0,right,ALad1,BAmv3,ALad1__1,80364748050945181,AL_LH_MB_CA
720575940623902471,right_0,right,ALad1,BAmv3,ALad1__1,82122386509656314,AL_LH_MB_CA
720575940612699761,right_0,right,ALad1,BAmv3,ALad1__1,80294310654002814,AL_LH_MB_CA
720575940619637780,right_0,right,ALad1,BAmv3,ALad1__1,80435185514524409,AL_LH_MB_CA
